author,comment,likes,published
@amandaseptia6318,Nonton iini pas bgt baru keluar opname gara2 types 😊,0,2025-12-20T14:54:37Z
@AwesZee,"Ide collab khusus bulan puasa sama dr.Tirta bg Radit, sebelum doi di gandeng ch orang 🤭😂😅",1,2025-12-20T14:15:20Z
@currentsly,dokter tirta : wukwukwuk🪥 huwekkkk🤮,0,2025-12-20T14:14:54Z
@BillvonAlfheim,Dokter spesialis bunyi bunyian,0,2025-12-20T14:05:50Z
@cxxupsetgirl2454,ngakak bgt dr Tirta 😭🤣,0,2025-12-20T13:44:39Z
@raniprihantini8559,Harus ada dr Tirta terus ini kocak lama2😂,0,2025-12-20T13:44:08Z
@hoaaam,34:20  punya gw setaun cuk terimakasih sebelumnya bang Radit sudah membuat kita tau🙏,1,2025-12-20T13:26:09Z
@motornyabisayapping,bang radit bikin qna lagi sama dokter tirta aku mau tanya dokter tirta tentang ferrari di f1,0,2025-12-20T13:17:07Z
@FarcHan-s3c1s,Ini editor nya ga bisa translate tin gituh a meunangih yang ga bisa bahasa nya.!,0,2025-12-20T13:05:40Z
@AmandaFarliana,46:46 🤣,0,2025-12-20T12:20:50Z
@selanadila,Anjirrr muka e dr tirtaa lucu bngttt dok... Dengerin prof,0,2025-12-20T12:04:57Z
@JeanGrey99,"""What if i amplas😂",0,2025-12-20T11:48:45Z
@sorayaarifin1445,ni dokter tirta entertaining banget,0,2025-12-20T11:33:55Z
@nurrachman2507,Radit emang psikopat co bahagia banget dr. Tirta dengan segala kepanikannya.. 😂,0,2025-12-20T11:29:45Z
@boywilliam8_,Yang bisa bahasa enggres pun mungkin pusing denger nya,0,2025-12-20T11:13:58Z
@wahyusetyo7606,32:37 salah Kabeh,0,2025-12-20T10:52:31Z
@wahyusetyo7606,30:36  😂,0,2025-12-20T10:48:52Z
@JadiHikmahNya,46:11 DR. TIRTA LAH NGELUNJAK 😂😂😂,1,2025-12-20T10:41:38Z
@JadiHikmahNya,44:12 KAK RADIT HERAN DAN TERCENGANG MELIHAT KELAKUAN NYA DR. TIRTA 😂😂😂,0,2025-12-20T10:38:26Z
