author,comment,likes,published
@RahasiaNegara-n7v,"Permainan di mbg bgn di dekingin oleh kepalanya sendiri Dadan Hindayana,  
1. Tigor pangaribuan (bertugas menetapkan aturan disystem tata kelola sepihak tanpa berkoordinasi dengan kedeputian dialur hampir semua tugas fungsi kedeputian dialur di masukan orangnya dia yg bukan posisinya di kedeputian dialur agar mudah mengatur verifikasi mitra dan pencairan mitra, dengan mengambil tugas fungsi kedeputian dialur, pemegang mutlak BA Verval)
2. Risal (dijadikan ppk mbg agar dapat bermain mengatur pencairan biar mudah mengirimkan uang ke dapur2nya seperti pengiriman uang kevirtual account tidak sesuai batas maksimal contoh seharusnya per periode 600 dia kirimkan 1 M agar mudah memanipulasi seolah uang untuk mbg sudah abis, padahal mengendap di virtual account)  
3. Rikola (mengumpulkan mitra dengan memerintahkan sppi untuk siapa yang mau di verifikasi harus membayar, bahkan membahasakan walaupun web mitra tutup dia masih bisa masuk melalui super admin Ary Santoso dan Sony Sanjaya), 
4. Redy Hendra Gunawan(tugasnya bermain di anggaran seperti anggaran EO, Kehumasan dan lain sebagainya dengan mengatur sepihak geser2 anggaran dengan memerintahkan Sartini Plt Karo Mankin), 
5. Ary Santoso (sebagai super admin yg bisa segalanya mengatur aplikasi mitra mbg, mengadakan yg gk ada, bahkan menghilangkan yg ada), 
6. Sartini Plt Karo Mankin (bertugas mengkondisikan anggaran yg diminta oknum tersebut, seperti mengganti usulan merevisi anggaran sepihak dengan dalil perintah dari Kepala BGN tanpa mengkoordinasikan dengan Kedeputian maupun Sestama sebagai pemilik anggaran)
7. Sony Sanjaya (sebagai super admin yg bisa segalanya mengatur aplikasi mitra mbg, mengadakan yg gk ada, bahkan menghilangkan yg ada), 
8. Rufry pegawai dari kpk yg jadi direktur di bgn untuk menutupi kelakuan mereka

Mereka semua diatas menggunakan tangan sppi yg masih lugu polos untuk bekerja mengumpulkan pundi2 di lapangan, mereka tidak berani menggunakan KPPG yg jelas2 secara aturan Kepala perwakilan bgn di daerah yg sudah dilantik resmi dengan jabatan eselon 3, mereka memakai sppi yg tidak tau apa2 yg hanya nurut perintah nanti ada kesalahan mereka yg disalahkan itulah playing victim. Oknum Badan Gizi Nasional Dadan Hindayana, Sony, risal, rufry dr kpk, ari tiap hari kalau datang diatas jam 9 malam hotel bigland pakuan bogor. lantai 3 samping setengah 2 malam, ada transaksi disitu",0,2025-12-17T13:26:32Z
@AbdulAziz-pk7fp,Waktu WAWANCARA INI.   PATUT DI CURIGAI. SDH berproses  DI KORUP.,0,2025-12-16T06:13:28Z
@ChavaliBonsai,"Mbg bagus tapi sayang banyak ga di makan sama anak²😢, program bagus tapi gizi ga kemakan",0,2025-12-16T03:37:37Z
@BauMahmud,PronasionaL. HEALTHY. impLementasi. . MBG. banyak dampak effec. Positive. QuaLit Quantit hidup...(saLute prof thank s luar biasa. loncatan.percepatsn,0,2025-12-06T21:14:00Z
@pedroananta3007,"Kalau orang tua di sejahterakan, pendidikan dan pekerjaan yg layak bisa di akses dengan mudah , maka anak anak pun bisa makan bergizi . Orang tua mana yang tidak mau memberi anaknya makan bergizi , kalau bukan karena kesulitan ekonomi di negri para penipu ini",0,2025-12-04T08:51:13Z
@heydude8616,"seluruh relawan harus diapresiasi dan diperhitungkan dari kepala dapur sampai pencucian ompreng harus sama sama sejahtera nya. karena relawan pekerja kasar di dapur ga gampang juga.

 belum sesuai dan adil fee dengan lemburan jam kerja. minimal perjam nya bisa dibayar toh anggaran akan cepat terserap juga klo seperti itu. 
semua sama sama capek tp pekerja kasar seperti dianak tirikan. dimana Pancasila nya Indonesia klo seperti itu?? miris",0,2025-11-30T22:04:57Z
@jefritriyoga6447,"MBG tepat sasaran bila dibagikan ke sekolah terpencil dan untuk yang kurang mampu, untuk yang sekolah sudah mampu maaf dengan sangat saya menolak",0,2025-11-13T08:19:33Z
@setiowidodo8509,"Ganti program saja gpp kok, rkyat pasti setuju 😊",0,2025-11-10T19:13:31Z
@jjofficialnewdokumenter7000,lanjutkan seterusnya MBG PROGRAM BAGUS byk yg terbantu gizi sangat penting untuk SDM generasi penerus mmbntu ekonomi di bawah mmbntu loker juga scr agama jg sangat berkah,0,2025-11-06T18:45:13Z
@alediragambas2599,"Program MBG,..target presiden membuat manusia unggul,...
Yg bermasalah yg menbuat menu tidak sesuai spek ato SOP,...
Setidaknya 2 tahun kedepan berkurangnya stunting,...dan mungkin 10 tahun kedepan bisa liat generasi baru dgn tubuh n ukuran yg agak tinggi mirip kayak film superhero program manusia unggul...😊😀😆...
Harusnya tutup n pecat pegawai yg bermain menu tidak sesuai spek ato SOP...entah karena susu yg kurang kandungan ato lainnya...mayoritas kelemahan di susu yg kurang kandungan",0,2025-10-31T04:14:58Z
